contractor,month,row,level,block,waste,CF2,CF3,cr-cf2,cr-cf3,cr-oxid,cr-sum,CF3-LP,OXID,ton,sum
700,2,27,1300,E14422-1300M,419,0,0,0,0,0,0,0,0,41900,419
700,2,28,1180,E14475-1180,525,242,21,193,80,0,274,0,0,114255,1062
700,2,29,1135,E14496-1135,103,68,14,88,71,0,159,0,0,38015,344
700,2,30,1300,E14492-1300,144,92,0,74,0,0,74,0,0,33490,310
700,2,31,1300,E14470-1300,289,31,2,30,39,0,69,0,0,40630,391
700,2,32,1180,E14497-1180,16,25,2,14,62,0,76,0,0,13445,119
700,2,33,1300,E14493-1300M,257,75,0,21,0,0,21,0,0,36740,353
700,2,34,1135,E14519-1135M,92,49,12,0,0,0,0,0,0,16215,153
700,2,35,1180,E14369-1180M,452,0,0,0,0,0,0,0,0,45200,452
700,2,36,1180,E14517-1180M,101,290,56,91,251,0,342,0,0,89220,789
700,2,37,1165,E14522-1165T,268,0,0,0,0,0,0,0,0,26800,268
700,2,38,1300,E14518-1300M,12,0,0,0,0,0,0,0,0,1200,12
700,2,39,1300,E14521-1300T,699,22,0,0,0,0,0,0,0,72430,721
700,2,40,1180,E14395-1180M,494,4,0,0,0,0,0,0,0,49860,498
700,2,41,1165,E14530-1165M,281,3,9,0,72,0,72,0,0,37760,365
700,2,42,1285,E14523-1285T,259,1,0,0,0,0,0,0,0,26015,260
700,2,43,1300,E14526-1300M,191,0,0,0,0,0,0,0,0,19100,191
700,2,44,1300,E14562-1300,29,0,0,0,0,0,0,0,0,2900,29
700,2,45,1165,E14564-1165M,0,0,1,0,34,0,34,0,0,4025,35
700,2,46,1285,E14529-1285T,18,0,0,0,0,0,0,0,0,1800,18
700,3,1,1450,Other-1450,5,0,0,0,0,0,0,0,0,500,5
700,3,2,1450,West-Dump,180,0,0,0,0,0,0,0,0,18000,180
700,3,3,1165,other-1165,46,10,0,1,0,0,1,0,0,5865,57
700,3,4,1135,other-1135,19,23,2,3,12,0,15,0,0,6500,59
700,3,5,1180,E14497-1180,13,119,302,261,897,0,1158,0,0,182885,1592
700,3,6,1165,E14522-1165T,616,51,5,1,0,0,1,0,0,68155,673
700,3,7,1180,E14395-1180M,504,54,6,1,3,0,4,0,0,57760,568
700,3,8,1165,E14530-1165M,96,0,0,0,0,0,0,0,0,9600,96
700,3,9,1285,E14523-1285T,7,0,0,0,0,0,0,0,0,700,7
700,3,10,1300,E14526-1300M,417,0,0,0,0,0,0,0,0,41700,417
700,3,11,1300,E14562-1300,805,0,0,0,0,0,0,0,0,80500,805
700,3,12,1165,E14564-1165M,60,21,46,124,204,0,328,0,0,51425,455
700,3,13,1285,E14529-1285T,146,0,0,0,0,0,0,0,0,14600,146
700,3,14,1165,E14566-1165M,113,125,2,36,0,0,36,0,0,30045,276
700,3,15,1165,E14566-1165,493,78,2,27,1,0,28,0,0,61720,601
700,3,16,1180,E14525-1180M,8,143,166,227,87,0,314,0,0,72445,631
700,3,17,1285,E14565-1285T,515,0,0,0,0,0,0,0,0,51500,515
700,3,18,1165,E14571-1165M,282,0,0,0,0,0,0,0,0,28200,282
700,3,19,1180,E14573-1180,7,38,31,34,203,0,237,0,0,35890,313
700,3,20,1300,E14578-1300M,822,61,16,0,9,0,9,0,0,92090,908
700,3,21,1285,E14579-1285T,709,0,0,0,0,0,0,0,0,70900,709
700,3,22,1195,E14582-1195,175,47,0,0,0,0,0,0,0,22905,222
700,3,23,1165,E14575-1165M,33,0,0,0,0,0,0,0,0,3300,33
