contractor,month,row,level,block,waste,CF2,CF3,cr-cf2,cr-cf3,cr-oxid,cr-sum,CF3-LP,OXID,ton,sum
742,1,1,1315,Other-1315,0,1,1,0,1,0,1,0,0,240,3
742,1,2,1300,other-1300,0,0,1,0,0,0,0,0,0,80,1
742,1,3,1450,West Dump,6,0,0,0,0,0,0,0,0,450,6
742,1,4,1300,E14393-1300T,296,0,0,0,0,0,0,0,0,24650,296
742,1,5,1330,E14248-1330,94,0,0,0,0,0,0,0,0,7650,94
742,1,6,1240,E14249-1240,38,0,0,0,0,0,0,0,0,2950,38
742,1,7,1330,E14281-1330,40,0,0,0,0,0,0,0,0,3000,40
742,1,8,1240,E14278-1240T,32,0,0,0,0,0,0,0,0,2675,32
742,1,9,1315,E14213-1315T,61,0,0,0,0,0,0,0,0,4650,61
742,1,10,1330,E14297-1330T,5,0,0,0,0,0,0,0,0,375,5
742,1,11,1330,E14292-1330T,49,10,0,5,0,0,5,0,0,4875,64
742,1,12,1330,E14279-1330T,485,33,3,6,0,0,6,0,0,44860,527
742,1,13,1210,E14267-1210A,14,43,22,26,95,0,121,0,0,17785,200
742,1,14,1240,other-1240,0,0,0,0,1,0,1,0,0,115,1
742,1,15,1315,E14341-1315,131,21,0,1,0,0,1,0,0,13205,153
742,1,16,1300,E14301-1300T,167,0,0,0,0,0,0,0,0,12525,167
742,1,17,1315,E14308-1315,124,0,0,0,0,0,0,0,0,9875,124
742,1,18,1300,E14323-1300T,560,0,0,0,0,0,0,0,0,42550,560
742,1,19,1210,E14328-1210T,66,23,102,19,266,0,285,0,0,39710,476
742,1,20,1210,E14329-1210,77,29,3,10,0,0,10,0,0,9880,119
742,1,21,1315,E14345-1315,509,0,7,0,12,0,12,0,0,46360,528
742,1,22,1240,EL768-1240T,20,0,0,0,0,0,0,0,0,1500,20
742,1,23,1315,E14349-1315,81,9,4,0,11,0,11,0,0,9210,105
742,1,24,1315,E14354-1315T,87,0,0,0,0,0,0,0,0,7600,87
742,1,25,1315,E14353-1315T,606,0,0,0,0,0,0,0,0,50475,606
742,1,26,1315,E14303-1315M,594,0,6,0,0,0,0,0,0,50380,600
742,1,27,1225,E14366-1225,369,0,0,0,0,0,0,0,0,31325,369
742,1,28,1330,E14305-1330,192,0,1,0,0,0,0,0,0,14530,193
742,1,29,1240,E14307-1240,65,0,0,0,0,0,0,0,0,4875,65
742,1,30,1315,E14367-1315,174,60,7,7,0,0,7,0,0,21450,248
742,1,31,1315,E14346-1315,92,0,0,0,0,0,0,0,0,7725,92
742,1,32,1300,E14368-1300,422,0,0,0,0,0,0,0,0,31650,422
742,1,33,1315,E14320-1315T,14,68,111,73,238,0,311,0,0,46495,504
742,1,34,1330,EL770-1330,0,0,19,0,0,0,0,0,0,1625,19
742,1,35,1315,E14358-1315,0,1,0,0,0,0,0,0,0,115,1
742,1,36,1300,E14373-1300T,515,4,0,0,0,0,0,0,0,41420,519
742,1,37,1210,E14392-1210,85,21,99,0,188,0,188,0,0,32440,393
742,1,38,1210,E14394-1210,0,57,146,24,91,0,115,0,0,27750,318
742,1,39,1300,E14391-1300T,470,0,0,0,0,0,0,0,0,35275,470
742,1,40,1315,E14398-1315T,114,23,12,7,14,0,21,0,0,14085,170
742,1,41,1315,E14401-1315,266,5,11,0,1,0,1,0,0,22630,283
742,1,42,1210,E14399-1210T,16,16,138,2,223,0,225,0,0,32780,395
742,1,43,1330,E14402-1330,101,31,7,5,3,0,8,0,0,13000,147
742,1,44,1315,E14351-1315,131,0,0,0,0,0,0,0,0,10025,131
742,1,45,1315,E14400-1315,458,0,0,0,0,0,0,0,0,38500,458
742,1,46,1315,E14396-1315T,104,0,0,0,0,0,0,0,0,8025,104
742,2,1,1300,E14393-1300T,54,0,0,0,0,0,0,0,0,4500,54
742,2,2,1300,E14301-1300T,399,0,0,0,0,0,0,0,0,33175,399
742,2,3,1210,E14394-1210,0,8,22,0,11,0,11,0,0,3630,41
742,2,4,1315,E14401-1315,8,0,0,0,0,0,0,0,0,625,8
742,2,5,1330,E14402-1330,18,7,0,0,0,0,0,0,0,1910,25
742,2,6,1315,E14400-1315,260,0,0,0,0,0,0,0,0,21350,260
742,2,7,1315,E14396-1315T,25,0,0,0,0,0,0,0,0,1925,25
742,2,8,1300,E14410-1300M,320,0,0,0,0,0,0,0,0,26825,320
742,2,9,1315,E14419-1315T,3,26,0,19,2,0,21,0,0,4545,50
742,2,10,1210,E14418-1210T,166,40,1,18,3,0,21,0,0,17655,228
742,2,11,1210,E14415-1210T,20,37,7,89,11,0,100,0,0,14800,164
742,2,12,1270,E14441-1270T,1,0,0,0,0,0,0,0,0,75,1
742,2,13,1315,E14424-1315T,537,0,0,0,0,0,0,0,0,41875,537
742,2,14,1300,E14420-1300M,610,0,0,0,0,0,0,0,0,53450,610
742,2,15,1315,E14446-1315T,401,0,0,0,0,0,0,0,0,30650,401
742,2,16,1210,E14452-1210,1,54,42,181,101,0,282,0,0,33010,379
742,2,17,1315,ٍE14413-1315T,424,0,0,0,0,0,0,0,0,36550,424
742,2,18,1210,E14468-1210T,250,0,20,0,121,0,121,0,0,31460,391
742,2,19,1285,E14455-1285T,388,1,0,0,0,0,0,0,0,33930,389
742,2,20,1315,E14414-1315,634,0,0,0,0,0,0,0,0,47725,634
742,2,21,1315,E14444-1315,691,0,0,0,0,0,0,0,0,58275,691
742,2,22,1195,E14450-1195T,140,16,33,7,87,0,94,0,0,24385,283
742,2,23,1285,E14454-1285T,115,0,0,0,0,0,0,0,0,8925,115
742,2,24,1195,E14443-1195,0,5,98,0,172,0,172,0,0,22000,275
742,2,25,1285,E14494-1285,354,0,0,0,0,0,0,0,0,30125,354
742,2,26,1195,E14474-1195,29,6,195,16,418,0,434,0,0,57820,664
742,2,27,1285,E14516-1285,229,0,0,0,0,0,0,0,0,18950,229
742,2,28,1210,E14491-1210T,20,6,0,0,0,0,0,0,0,2050,26
742,2,29,1300,E14477-1300T,521,0,0,0,0,0,0,0,0,41875,521
742,2,30,1300,E14498-1300T,490,150,0,40,0,0,40,0,0,58640,680
742,2,31,1300,E14495-1300T,332,14,0,5,0,0,5,0,0,26655,351
742,2,32,1315,E14466-1315T,441,0,0,0,0,0,0,0,0,33675,441
742,2,33,1315,E14467-1315T,329,0,0,0,0,0,0,0,0,27575,329
742,2,34,1300,E14518-1300M,595,1,0,1,0,0,1,0,0,48835,597
742,2,35,1195,E14499-1195,133,0,0,0,0,0,0,0,0,11075,133
742,2,36,1195,E14520-1195,20,28,35,15,142,0,157,0,0,21830,240
742,2,37,1300,E14524-1300T,8,0,0,0,0,0,0,0,0,675,8
742,3,1,1525,other-1525,1520,0,0,0,0,0,0,0,0,119025,1520
742,3,2,1270,other-1270,9,0,0,0,0,0,0,0,0,775,9
742,3,3,1300,E14301-1300T,59,0,0,0,0,0,0,0,0,4550,59
742,3,4,1195,E14474-1195,0,0,1,0,6,0,6,0,0,735,7
742,3,5,1210,E14491-1210T,335,110,22,18,1,0,19,0,0,38570,486
742,3,6,1300,E14498-1300T,84,3,0,1,0,0,1,0,0,6820,88
742,3,7,1300,E14518-1300M,401,16,0,0,0,0,0,0,0,34955,417
742,3,8,1195,E14520-1195,40,40,120,31,302,0,333,0,0,46240,533
742,3,9,1315,E14484-1315T,6,0,20,0,53,0,53,0,0,6350,79
742,3,10,1300,E14524-1300T,472,20,0,3,0,0,3,0,0,40860,495
742,3,11,1300,E14561-1300,621,2,0,0,0,0,0,0,0,50960,623
742,3,12,1285,E14533-1285T,465,0,0,0,0,0,0,0,0,34900,465
742,3,13,1300,E14563-1300T,616,0,0,0,0,0,0,0,0,50175,616
742,3,14,1300,E14531-1300T,406,0,0,0,0,0,0,0,0,34175,406
742,3,15,1195,E14528-1195,306,30,96,1,77,0,78,0,0,43095,510
742,3,16,1300,E14567-1300,560,0,0,0,0,0,0,0,0,43375,560
742,3,17,1210,E14541-1210T,78,0,0,0,0,0,0,0,0,6325,78
742,3,18,1285,E14576-1285,55,0,0,0,0,0,0,0,0,4150,55
742,3,19,1300,E14542-1300T,493,56,0,0,0,0,0,0,0,48170,549
742,3,20,1300,E14581-1300,714,0,0,0,0,0,0,0,0,57675,714
742,3,21,1210,E14532-1210T,179,7,0,2,0,0,2,0,0,15215,188
742,3,22,1195,E14585-1195T,11,50,88,15,185,0,200,0,0,32305,349
742,3,23,1300,E14574-1300T,532,0,0,0,0,0,0,0,0,45575,532
742,3,24,1300,E14611-1300T,558,0,0,0,0,0,0,0,0,45700,558
742,3,25,1555,E14589-1555,140,0,0,0,0,0,0,0,0,10925,140
742,3,26,1300,E14570-1300T,401,0,0,0,0,0,0,0,0,31550,401
742,3,27,1300,E14613-1300T,461,0,0,0,0,0,0,0,0,38975,461
742,3,28,1285,E14634-1285,308,14,0,0,0,0,0,0,0,24795,322
742,3,29,1540,E14630-1540T,146,0,0,0,0,0,0,0,0,10950,146
742,3,30,1300,E14626-1300T,271,0,0,0,0,0,0,0,0,23625,271
742,3,31,1540,E14629-1540T,154,0,0,0,0,0,0,0,0,12825,154
742,3,32,1555,El783-1555,39,0,0,0,0,0,0,0,0,3000,39
742,3,33,1285,E14636-1285,167,0,0,0,0,0,0,0,0,12750,167
742,3,34,1270,E14644-1270,78,23,0,0,0,0,0,0,0,9050,101
742,3,35,1285,E14639-1285T,154,3,0,0,0,0,0,0,0,11915,157
742,3,36,1285,E14637-1285T,340,1,0,0,0,0,0,0,0,30955,341
742,3,37,1285,E14642-1285,236,0,0,0,0,0,0,0,0,18400,236
742,3,38,1540,E14641-1540T,248,0,0,0,0,0,0,0,0,20175,248
742,3,39,1195,E14627-1195T,21,1,7,2,34,0,36,0,0,5685,65
742,3,40,1285,E14640-1285T,80,0,0,0,0,0,0,0,0,6250,80
742,3,41,1285,E14646-1285,24,0,0,0,0,0,0,0,0,2000,24
742,4,1,1540,other-1540,42,0,0,0,0,0,0,0,0,3600,42
742,4,2,1510,other-1510,1811,0,0,0,0,0,0,0,0,147450,1811
742,4,3,1525,other-1525,566,0,0,0,0,0,0,0,0,46550,566
742,4,4,1285,E14576-1285,31,0,0,0,0,0,0,0,0,2525,31
742,4,5,1285,E14642-1285,90,0,0,0,0,0,0,0,0,7425,90
742,4,6,1540,E14641-1540T,739,0,0,0,0,0,0,0,0,57075,739
742,4,7,1285,E14640-1285T,7,0,0,0,0,0,0,0,0,600,7
742,4,8,1285,E14646-1285,271,0,0,0,0,0,0,0,0,22225,271
742,4,9,1270,E14664-1270,413,0,0,0,0,0,0,0,0,31250,413
742,4,10,1525,E14661-1525T,323,0,0,0,0,0,0,0,0,27500,323
742,4,11,1285,E14645-1285T,357,0,0,0,0,0,0,0,0,28700,357
742,4,12,1510,E14671-1510T,462,0,0,0,0,0,0,0,0,37025,462
742,4,13,1525,E14672-1525T,34,0,0,0,0,0,0,0,0,2650,34
742,4,14,1195,E14669-1195T,74,36,30,4,4,0,8,0,0,13125,148
742,4,15,1195,E14632-1195T,352,0,0,9,0,0,9,0,0,30010,361
742,4,16,1525,EL789-1525,79,0,0,0,0,0,0,0,0,5925,79
